image_id,class_id,class_name,class_folder,image_name,image_path,image_full_path,split,is_train,bbox_x,bbox_y,bbox_width,bbox_height
11,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0023_796059.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,train,1,1.0,52.0,342.0,260.0
12,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0086_796062.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,test,0,47.0,21.0,179.0,249.0
13,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0049_796063.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,test,0,36.0,32.0,197.0,457.0
14,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0006_796065.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,test,0,37.0,40.0,262.0,184.0
15,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0040_796066.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,train,1,23.0,80.0,395.0,237.0
16,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0016_796067.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,test,0,141.0,87.0,256.0,211.0
17,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0065_796068.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,test,0,40.0,38.0,254.0,209.0
18,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0089_796069.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,train,1,45.0,58.0,254.0,249.0
19,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0042_796071.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,test,0,135.0,83.0,304.0,181.0
20,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0067_170.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,train,1,23.0,195.0,255.0,122.0
21,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0060_796076.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,train,1,11.0,77.0,281.0,139.0
22,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0090_796077.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,test,0,5.0,4.0,210.0,130.0
23,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0056_796078.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,train,1,154.0,93.0,188.0,165.0
24,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0061_796082.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,test,0,50.0,25.0,156.0,139.0
25,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0008_796083.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,test,0,172.0,106.0,265.0,214.0
26,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0033_796086.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,test,0,37.0,61.0,409.0,180.0
27,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0024_796089.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,test,0,65.0,62.0,309.0,345.0
28,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0005_796090.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,test,0,1.0,2.0,499.0,286.0
29,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0026_796095.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,test,0,97.0,3.0,235.0,254.0
30,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0080_796096.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,train,1,90.0,29.0,224.0,211.0
31,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0047_796064.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,train,1,38.0,15.0,314.0,301.0
32,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0017_796098.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,train,1,20.0,91.0,416.0,203.0
33,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0064_796101.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,test,0,82.0,52.0,260.0,260.0
34,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0076_417.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,test,0,66.0,115.0,360.0,214.0
35,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0019_796104.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,train,1,19.0,18.0,464.0,294.0
36,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0057_796106.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,train,1,72.0,40.0,286.0,225.0
37,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0041_796108.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,train,1,216.0,119.0,221.0,154.0
38,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0053_796109.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,test,0,40.0,4.0,368.0,445.0
39,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0001_796111.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,test,0,69.0,57.0,199.0,141.0
40,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0071_796113.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,train,1,130.0,29.0,202.0,393.0
41,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0077_796114.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,train,1,53.0,46.0,302.0,317.0
42,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0032_796115.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,train,1,25.0,17.0,368.0,299.0
43,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0038_212.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,train,1,137.0,64.0,287.0,156.0
44,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0037_796120.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,test,0,111.0,42.0,133.0,219.0
45,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0082_796121.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,test,0,58.0,51.0,388.0,211.0
46,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0079_796122.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,train,1,13.0,28.0,212.0,283.0
47,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0050_796125.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,test,0,5.0,127.0,496.0,131.0
48,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0078_796126.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,test,0,113.0,260.0,127.0,130.0
49,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0036_796127.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,train,1,49.0,69.0,253.0,211.0
50,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0045_796129.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,test,0,24.0,144.0,433.0,130.0
51,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0039_796132.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,train,1,151.0,152.0,310.0,200.0
52,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0088_796133.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,test,0,157.0,45.0,103.0,324.0
53,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0068_796135.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,train,1,60.0,29.0,432.0,355.0
54,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0003_796136.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,test,0,131.0,36.0,212.0,304.0
55,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0007_796138.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,train,1,152.0,86.0,120.0,141.0
56,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0069_796139.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,train,1,2.0,45.0,189.0,120.0
57,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0035_796140.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,test,0,214.0,87.0,204.0,179.0
58,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0063_796141.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,train,1,46.0,24.0,197.0,117.0
59,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0058_796074.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,test,0,72.0,29.0,224.0,262.0
60,1,001.Black_footed_Albatross,001.Black_footed_Albatross,Black_Footed_Albatross_0081_426.jpg,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,train,1,96.0,77.0,260.0,170.0
61,2,002.Laysan_Albatross,002.Laysan_Albatross,Laysan_Albatross_0002_1027.jpg,002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,test,0,144.0,40.0,333.0,165.0
62,2,002.Laysan_Albatross,002.Laysan_Albatross,Laysan_Albatross_0003_1033.jpg,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,train,1,202.0,28.0,164.0,340.0
63,2,002.Laysan_Albatross,002.Laysan_Albatross,Laysan_Albatross_0082_524.jpg,002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,test,0,72.0,68.0,383.0,225.0
64,2,002.Laysan_Albatross,002.Laysan_Albatross,Laysan_Albatross_0044_784.jpg,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,train,1,60.0,128.0,438.0,106.0
65,2,002.Laysan_Albatross,002.Laysan_Albatross,Laysan_Albatross_0070_788.jpg,002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,/home/mark/Escritorio/upv/proyectos/Proyecto-IA/Parte-2_Analisis_Exploratorio_Datos/CUB_200_2011/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,test,0,32.0,35.0,259.0,361.0
